question|answer
je ne sais pas.|peut-être que cela provenait d'un caddie ces caddies sont dangereux 
ces caddies sont dangereux.|surtout ceux en métal 
surtout ceux en métal.|je ne me gare pas dans un magasin qui utilise des caddies en métal 
je ne me gare pas dans un magasin qui utilise des caddies en métal.|c'est une bonne idée, mais il y a eu de bonnes ventes dans ce magasin 
c'est une bonne idée, mais il y a eu de bonnes ventes dans ce magasin.|as-tu économisé de l'argent sur la vente ? 
as-tu économisé de l'argent sur la vente ?|Oui je l'ai fait. j'ai économisé environ 50 $.
Oui je l'ai fait.|j'ai économisé environ 50 $ c'est super 
tu as vu "titanic" ?|Oui. c'est un super film.
Oui.|c'est un super film je l'ai vu douze fois 
je l'ai vu douze fois.|je l'ai vu huit fois 
je l'ai vu huit fois.|j'ai le DVD 
j'ai le DVD.|moi aussi 
moi aussi.|allons chez toi 
allons chez toi.|nous pouvons regarder mon DVD 
nous pouvons regarder mon DVD.|et ensuite nous pourrons aller chez moi 
et ensuite nous pourrons aller chez moi.|et regarde ton DVD 
et regarde ton DVD.|je pleure toujours à la fin 
je pleure toujours à la fin.|moi aussi c'est tellement triste 
jouons aux cartes.|je ne connais aucun jeu de cartes 
je ne connais aucun jeu de cartes.|je vais t'en apprendre un 
je vais t'en apprendre un.|d'accord que vas-tu m'apprendre ? 
d'accord.|
ça s'appelle du poker.|est-ce facile à apprendre ? 
est-ce facile à apprendre ?|oui, cela ne prendra que 30 minutes environ.
oui, cela ne prendra que 30 minutes environ.|d'accord apprends-moi à jouer 
d'accord.|apprends-moi à jouer nous recevons chacun cinq cartes 
nous recevons chacun cinq cartes.|Oh regarde j'ai quatre dizaines 
Oh regarde.|j'ai quatre dizaines c'est super, mais tu n'es pas censé me le dire 
c'est super, mais tu n'es pas censé me le dire.|Oh Désolé ok, je n'ai pas quatre dizaines 
je suis un bon joueur de cartes.|pourquoi donc? 
pourquoi donc?|parce que je regarde les autres joueurs.
parce que je regarde les autres joueurs.|que veux-tu dire ? 
que veux-tu dire ?|les gens vous diront s’ils ont une bonne main.
les gens vous diront s’ils ont une bonne main.|Comment font-ils cela? 
Comment font-ils cela?|par exemple, un de mes amis se lèche les lèvres.
par exemple, un de mes amis se lèche les lèvres.|quand il se lèche les lèvres, tu sais qu'il a une bonne main ? 
quand il se lèche les lèvres, tu sais qu'il a une bonne main ?|je sais qu'il a une bonne main, donc je ne parie pas.
je sais qu'il a une bonne main, donc je ne parie pas.|il ne gagne jamais votre argent ? 
il ne gagne jamais votre argent ?|non, et ça le rend fou.
non, et ça le rend fou.|il sait que tu ne peux pas lire dans ses pensées peut-être qu'il pense que tu triches 
baissez la radio, s'il vous plaît.|mais je l'écoute 
mais je l'écoute.|eh bien, écoutez-le plus doucement 
eh bien, écoutez-le plus doucement.|j'ai hâte de grandir 
j'ai hâte de grandir.|que ferez-vous? 
que ferez-vous?|je vais mettre la radio aussi fort que je veux.
je vais mettre la radio aussi fort que je veux.|ça me va 
ça me va.|j'aurai une radio dans chaque pièce de ma maison 
j'aurai une radio dans chaque pièce de ma maison.|rappelez-moi de ne jamais vous rendre visite 
rappelez-moi de ne jamais vous rendre visite.|toutes les radios seront très fortes 
toutes les radios seront très fortes.|vos voisins vous détesteront 
vos voisins vous détesteront.|s'ils ne l'aiment pas, ils peuvent déménager 
quelqu'un doit gagner.|c'est ce que tout le monde dit 
c'est ce que tout le monde dit.|ça pourrait aussi bien être moi 
ça pourrait aussi bien être moi.|c'est ce que tout le monde dit 
c'est ce que tout le monde dit.|tu essaies de me dire quelque chose 
tu essaies de me dire quelque chose.|cela n'a pas pris longtemps 
cela n'a pas pris longtemps.|tu penses que je devrais arrêter de jouer 
tu penses que je devrais arrêter de jouer.|économisez votre argent pour l’banque 
ce qui est à la télé?|pas grand chose.
pas grand chose.|et le match de baseball ? 
et le match de baseball ?|il a plu.
il a plu.|il a plu ? 
il a plu ?|oui, il a plu.
oui, il a plu.|comment cela pourrait-il être? 
comment cela pourrait-il être?|eh bien, vous ne pouvez pas jouer au baseball sous une tempête de pluie.
eh bien, vous ne pouvez pas jouer au baseball sous une tempête de pluie.|je pensais qu'ils jouaient sous un dôme 
je pensais qu'ils jouaient sous un dôme.|le dôme ne ferme pas 
le dôme ne ferme pas.|pourquoi ça ne ferme pas ? 
pourquoi ça ne ferme pas ?|qui sait? ils ont dit qu'ils le répareraient avant la saison prochaine.
je peux essayer ton café ?|bien sûr. Voici.
bien sûr.|Voici hum, ce n'est pas mal 
hum, ce n'est pas mal.|il n'y a rien dedans 
il n'y a rien dedans.|que veux-tu dire ? 
que veux-tu dire ?|je veux dire, c'est juste du café.
je veux dire, c'est juste du café.|Je pensais que 
Je pensais que.|ce n'est pas trop amer pour toi ? 
ce n'est pas trop amer pour toi ?|c'est un peu amer, mais ça va.
c'est un peu amer, mais ça va.|il n'y a ni sucre ni crème dedans 
il n'y a ni sucre ni crème dedans.|non, c'est un goût auquel il faut s'habituer 
non, c'est un goût auquel il faut s'habituer.|un peu comme la bière 
Promenons-nous.|Quel temps fait-il? 
Quel temps fait-il?|laissez-moi sortir et voir.
laissez-moi sortir et voir.|il fait un peu frais, non ? 
il fait un peu frais, non ?|oui c'est le cas.
oui c'est le cas.|je vais mettre ma casquette 
je vais mettre ma casquette.|portez aussi une veste 
portez aussi une veste.|je me demande si je devrais apporter mes gants 
je me demande si je devrais apporter mes gants.|peut-être que tu devrais le faire, juste au cas où il ferait plus froid 
peut-être que tu devrais le faire, juste au cas où il ferait plus froid.|je mettrai un gant dans chaque poche 
je mettrai un gant dans chaque poche.|nous nous réchaufferons en marchant 
nous nous réchaufferons en marchant.|oui, mais il fait plus froid à mesure que le soleil se couche 
regardez la poursuite en voiture à la télé ! ce conducteur est fou.|
ce conducteur est fou.|je ne peux pas croire qu'il ne s'est pas écrasé 
je ne peux pas croire qu'il ne s'est pas écrasé.|à quelle vitesse va-t-il ? 
comment.|
il va tuer quelqu'un.|regarder! il vient de heurter cette voiture 
regarder! il vient de heurter cette voiture.|oh mon Dieu personne n'est en sécurité dans la rue 
Oh,.|
maintenant il ralentit.|peut-être qu'il est tombé en panne d'essence 
peut-être qu'il est tombé en panne d'essence.|regarder! il vient de sortir de la voiture et a commencé à courir 
regarder! il vient de sortir de la voiture et a commencé à courir.|j'espère que la police l'attrapera 
les informations télévisées sont tellement stupides.|ils ne devraient même pas appeler ça des nouvelles 
ils ne devraient même pas appeler ça des nouvelles.|Hier soir, ils nous ont parlé d'un chat dans un canapé 
Hier soir, ils nous ont parlé d'un chat dans un canapé.|hier, ils nous ont parlé d'un chien dans une pipe 
hier, ils nous ont parlé d'un chien dans une pipe.|la semaine dernière, ils nous ont parlé d'un ours dans un jardin 
la semaine dernière, ils nous ont parlé d'un ours dans un jardin.|
le mois dernier, ils nous ont parlé d'une souris dans un restaurant.|le météorologue nous indique la température dans chaque ville 
le météorologue nous indique la température dans chaque ville.|le sportif nous montre des joueurs en train de se battre 
le sportif nous montre des joueurs en train de se battre.|ils nous disent toujours "quelle est la prochaine étape" 
ils nous disent toujours "quelle est la prochaine étape".|ils donnent toujours l'impression que "la suite" semble excitante, mais cela ne l'est jamais 
ils donnent toujours l'impression que "la suite" semble excitante, mais cela ne l'est jamais.|c'est plutôt une nouvelle pour les enfants 
c'est plutôt une nouvelle pour les enfants.|ils devraient avoir des enfants journalistes 
j'adore mon ordinateur.|les ordinateurs sont tellement cool 
les ordinateurs sont tellement cool.|j'adore aller en ligne 
j'adore aller en ligne.|Internet est incroyable 
Internet est incroyable.|vous pouvez voyager partout dans le monde 
vous pouvez voyager partout dans le monde.|je sais je suis allé en Chine hier 
je sais.|je suis allé en Chine hier Qu'est-ce que tu as fait? 
Qu'est-ce que tu as fait?|je me tenais sur la grande muraille et regardais tout autour.
je me tenais sur la grande muraille et regardais tout autour.|comment c'était ? 
comment c'était ?|c'était comme la vraie chose.
c'était comme la vraie chose.|c'était comme être là ? 
c'était comme être là ?|oui, j'avais l'impression d'y être réellement.
les Beatles sont les meilleurs.|c'est le meilleur groupe musical de tous les temps 
c'est le meilleur groupe musical de tous les temps.|j'adore toutes leurs chansons 
j'adore toutes leurs chansons.|je ne sais pas lequel je préfère 
je ne sais pas lequel je préfère.|j'aime ceux avec qui je peux chanter 
j'aime ceux avec qui je peux chanter.|moi aussi, comme "elle t'aime" 
"Elle t'aime, ouais, ouais, ouais !.|" " et tu sais que tu devrais être content !" 
« …et tu sais que tu devrais être heureux ! quelle belle chanson.|
quelle belle chanson. que diriez-vous de « qu'il en soit ainsi ?|»
même s'ils sont en noir et blanc.|une bonne histoire est plus importante que la couleur 
une bonne histoire est plus importante que la couleur.|les acteurs ne juraient pas à l'époque 
les acteurs ne juraient pas à l'époque.|et il n'y a pas eu de violence 
et il n'y a pas eu de violence.|les gens d’aujourd’hui n’aiment pas ça 
les gens d’aujourd’hui n’aiment pas ça.|non, aujourd'hui, les gens aiment beaucoup d'action 
non, aujourd'hui, les gens aiment beaucoup d'action.|j'aime une bonne histoire 
j'aime une bonne histoire.|j'aime voir des acteurs qui ressemblent à de vraies personnes 
j'aime voir des acteurs qui ressemblent à de vraies personnes.|comme de vraies personnes avec de vrais problèmes 
comme de vraies personnes avec de vrais problèmes.|ils font encore des films comme ça 
ils font encore des films comme ça.|oui, mais ils ne gagnent jamais beaucoup d'argent 
est-ce que tu as des pbs à la télé ?|oui, tout le monde bénéficie du système de radiodiffusion publique.
oui, tout le monde bénéficie du système de radiodiffusion publique.|ça m'endort 
ça m'endort.|parle-moi de ça 
parle-moi de ça.|un spectacle de jardinage suit un spectacle de tricot 
un spectacle de jardinage suit un spectacle de tricot.|une émission de cuisine succède à une émission de couture 
une émission de cuisine succède à une émission de couture.|une émission de voyage suit une autre émission de voyage 
une émission de voyage suit une autre émission de voyage.|je dirai! j'ai déjà fait une douzaine de fois le tour du monde ! 
je dirai! j'ai déjà fait une douzaine de fois le tour du monde ! maintenant, ils ajoutent d'anciennes émissions de télévision aux vieux films.|
maintenant, ils ajoutent d'anciennes émissions de télévision aux vieux films.|j'aimerais bien voir quelque chose d'intéressant pour changer 
j'aimerais bien voir quelque chose d'intéressant pour changer.|Si davantage de personnes donnent de l'argent, PBS pourrait proposer de nouveaux spectacles 
Si davantage de personnes donnent de l'argent, PBS pourrait proposer de nouveaux spectacles. qui veut faire un don ?|la télévision publique devrait être gratuite.
J'adore regarder "Juge Judy".|c'est une émission de télé ? 
c'est une émission de télé ?|Oui. c'est tous les après-midi.
Oui.|c'est tous les après-midi qu'est-ce qu'il y a de si bien là-dedans ? 
qu'est-ce qu'il y a de si bien là-dedans ?|ils ont des procès intéressants.
ils ont des procès intéressants.|tel que? 
tel que?|hier, une femme s'est plainte d'un téléphone portable qu'elle avait acheté sur eBay.
hier, une femme s'est plainte d'un téléphone portable qu'elle avait acheté sur eBay.|quelque chose n'allait pas avec le téléphone ? 
quelque chose n'allait pas avec le téléphone ?|cela ne fonctionne qu'au Canada.
cela ne fonctionne qu'au Canada.|le vendeur le savait-il ? 
le vendeur le savait-il ?|oui, et il ne l'a pas dit à l'acheteur.
oui, et il ne l'a pas dit à l'acheteur.|J'espère que la juge Judy a demandé au vendeur de reprendre le téléphone 
cette femme est une très bonne chanteuse.|oui, mais elle ressemble à un homme 
Quelle différence cela fait?|les chanteuses sont censées être jolies.
les chanteuses sont censées être jolies.|les chanteurs sont censés sonner bien 
les chanteurs sont censés sonner bien.|ils devraient aussi être beaux 
ils devraient aussi être beaux.|il y a beaucoup de chanteurs laids 
il y a beaucoup de chanteurs laids.|les chanteurs masculins n’ont pas besoin d’être beaux 
les chanteurs masculins n’ont pas besoin d’être beaux.|alors les chanteuses non plus 
alors les chanteuses non plus.|eh bien, je n'achèterais jamais son CD 
eh bien, je n'achèterais jamais son CD.|mais tu lui achèterais un CD si elle était jolie ? 
mais tu lui achèterais un CD si elle était jolie ?|Oui. j'achèterais tous ses CD.
toutes les chaînes de télévision vont passer au numérique.|oui, cela se produira le mois prochain 
oui, cela se produira le mois prochain.|
la plupart d'entre eux diffusent déjà en numérique.|le signal numérique est très clair 
le signal numérique est très clair.|oh non, ce n'est pas le cas ! 
oh non, ce n'est pas le cas ! que veux-tu dire ?.|
que veux-tu dire ?|je n'arrive pas à avoir une seule chaîne.
je n'arrive pas à avoir une seule chaîne.|
as-tu une télévision numérique ?|bien sûr. mais je n'ai pas de câble.
bien sûr.|mais je n'ai pas de câble vous n'avez pas besoin de câble, mais vous avez besoin d'une bonne antenne 
vous n'avez pas besoin de câble, mais vous avez besoin d'une bonne antenne.|mais j'ai des oreilles de lapin 
mais j'ai des oreilles de lapin.|les oreilles de lapin ne sont pas assez fortes acheter une antenne numérique 
j'ai un rendez-vous pour toi.|oh vraiment? 
oh vraiment?|Es tu intéressé
Es tu intéressé?|peut être. à quoi ressemble-t-elle
peut être. à quoi ressemble-t-elle?|elle a une grande personnalité.
elle a une grande personnalité.|euh-oh ça veut dire qu'elle est grosse et laide 
euh-oh.|ça veut dire qu'elle est grosse et laide elle est mignonne 
elle est mignonne.|ok, donc elle n'est pas moche ; elle est juste grosse 
ok, donc elle n'est pas moche ; elle est juste grosse.|elle pèse 98 livres 
elle pèse 98 livres.|ok, elle n'est pas grosse alors quel est le problème avec elle ? 
ok, elle n'est pas grosse. alors quel est le problème avec elle ?|qui a dit qu'il y avait un problème avec elle
qui a dit qu'il y avait un problème avec elle ?|le problème c'est qu'elle n'a aucun problème, elle est trop bien pour moi !
je pense que tu es très jolie.|merci 
merci.|Veux-tu dîner avec moi ? 
Veux-tu dîner avec moi ?|J'aimerais.
J'aimerais.|puis-je venir te chercher vendredi soir ? 
puis-je venir te chercher vendredi soir ?|quelle heure
quelle heure?|huit heures.
huit heures.|ça a l'air génial 
ça a l'air génial.|nous irons dans un restaurant français 
nous irons dans un restaurant français.|je ne suis jamais allé dans un restaurant français 
je ne suis jamais allé dans un restaurant français.|je pense que vous allez adorer la nourriture 
je pense que vous allez adorer la nourriture.|je ne vais pas manger d'escargots ! 
Tu as de beaux yeux.|merci toi aussi 
merci.|toi aussi j'aimerais que mes yeux soient bleus 
j'aimerais que mes yeux soient bleus.|qu'est-ce qu'il y a avec les yeux verts ? 
qu'est-ce qu'il y a avec les yeux verts ?|rien, sauf que ma couleur préférée est le bleu.
rien, sauf que ma couleur préférée est le bleu.|peut-être que dans ta prochaine vie tu auras les yeux bleus 
peut-être que dans ta prochaine vie tu auras les yeux bleus.|mais et si je suis un poisson dans ma prochaine vie ? 
mais et si je suis un poisson dans ma prochaine vie ?|je pense que certains poissons ont les yeux bleus.
je pense que certains poissons ont les yeux bleus.|j'espère que je ne reviendrai pas comme un poisson 
j'espère que je ne reviendrai pas comme un poisson.|j'espère revenir en tant que chat 
j'espère revenir en tant que chat.|les chats ont de beaux yeux 
je t'ai aimé le premier jour où je t'ai vu.|C'était un coup de foudre? 
C'était un coup de foudre?|oui, ce fut le coup de foudre.
les chats ont de beaux yeux.|j'adorerais avoir des yeux de chat bleus 
Je vous aime.|je t'aime aussi 
je t'aime aussi.|je t'ai aimé le premier jour où je t'ai vu tu as rencontré une fille au supermarché ? 
tu as rencontré une fille au supermarché ?|elle se tenait derrière moi dans une file très lente à la caisse.
oui, ce fut le coup de foudre.|je ne t'aimais pas au début 
je ne t'aimais pas au début.|je sais j'ai dû te poursuivre pendant un moment 
je sais.|j'ai dû te poursuivre pendant un moment oui, tu m'as poursuivi et ensuite tu m'as attrapé 
oui, tu m'as poursuivi et ensuite tu m'as attrapé.|maintenant tu es à moi pour toujours 
maintenant tu es à moi pour toujours.|et tu es à moi pour toujours 
et tu es à moi pour toujours.|nous vieillirons ensemble 
nous vieillirons ensemble.|et soyez heureux ensemble 
je suis amoureux de cette fille.|tu lui as dit ? 
tu lui as dit ?|Bien sûr que non.
Bien sûr que non.|pourquoi pas? 
pourquoi pas?|elle se moquerait de moi.
elle se moquerait de moi.|Comment savez-vous? 
Comment savez-vous?|parce qu'ils le font toujours.
parce qu'ils le font toujours.|peut-être qu'elle est différente 
peut-être qu'elle est différente.|ils sont tous pareils 
ils sont tous pareils.|invite-la simplement à dîner 
invite-la simplement à dîner.|et maintenant quoi? 
et maintenant quoi?|et alors elle saura que tu l'aimes bien.
fais-moi un câlin.|je ne suis pas d'humeur 
je ne suis pas d'humeur.|quel est le problème? 
quel est le problème?|je t'ai vu regarder cette femme.
je t'ai vu regarder cette femme.|quelle femme ? 
quelle femme ?|tu sais, cette femme aux gros seins.
tu sais, cette femme aux gros seins.|je ne la regardais pas 
je ne la regardais pas.|tu l'étais aussi 
tu l'étais aussi.|elle ne m'intéresse pas 
alors pourquoi la regardais-tu ?|je regardais autre chose.
je regardais autre chose. oh vraiment?|alors passe cette nuit à regarder le canapé.
Voudrais-tu aller à un rendez-vous à l'aveugle ?|Tu blagues.
Tu blagues.|Non, je suis sérieux 
Non, je suis sérieux.|je ne veux pas sortir avec une femme aveugle 
je ne veux pas sortir avec une femme aveugle.|un rendez-vous à l'aveugle ne veut pas dire qu'elle est aveugle ! 
un rendez-vous à l'aveugle ne veut pas dire qu'elle est aveugle ! Qu'est-ce que ça veut dire?.|
Qu'est-ce que ça veut dire?|un blind date est un rendez-vous avec quelqu'un que vous ne connaissez pas.
un blind date est un rendez-vous avec quelqu'un que vous ne connaissez pas.|pourquoi devrais-je sortir avec quelqu'un que je ne connais même pas ? 
pourquoi devrais-je sortir avec quelqu'un que je ne connais même pas ?|pour essayer quelque chose de nouveau et d'excitant.
pour essayer quelque chose de nouveau et d'excitant.|et si je ne l'aime pas ? 
et si je ne l'aime pas ?|alors tu ne sors plus avec elle.
j'ai un rendez-vous demain soir. vraiment ?|avec qui
vraiment ?|avec qui? une fille que j'ai rencontrée au marché.
une fille que j'ai rencontrée au marché.|tu as rencontré une fille au supermarché ? 
elle se tenait derrière moi dans une file très lente à la caisse.|que lui as-tu dit ? 
que lui as-tu dit ?|j'avais deux ananas dans mon panier et elle m'a demandé où je les avais trouvés.
j'avais deux ananas dans mon panier et elle m'a demandé où je les avais trouvés.|elle t'a posé des questions sur tes ananas ? 
elle t'a posé des questions sur tes ananas ?|Je lui ai dit que j'avais mis les deux derniers sur l'étagère, mais je lui ai offert un des miens.
Je lui ai dit que j'avais mis les deux derniers sur l'étagère, mais je lui ai offert un des miens.|C'était gentil de ta part 
C'était gentil de ta part.|elle m'a demandé comment elle pouvait rendre la pareille, alors je lui ai demandé de sortir avec moi 
elle m'a demandé comment elle pouvait rendre la pareille, alors je lui ai demandé de sortir avec moi.|parfois, une file d'attente lente peut être une bonne chose 
tu avais un rendez-vous vendredi soir ?|oui, en fait, je l'ai fait.
oui, en fait, je l'ai fait.|avec qui es-tu sorti ? 
avec qui es-tu sorti ?|un homme que j'ai rencontré dans un café.
un homme que j'ai rencontré dans un café.|où êtes-vous allé? 
où êtes-vous allé?|nous sommes allés dans un bon restaurant.
nous sommes allés dans un bon restaurant.|n'importe où ailleurs? 
n'importe où ailleurs?|puis nous sommes allés dans un club de jazz.
puis nous sommes allés dans un club de jazz.|ça a l'air d'être un bon rendez-vous 
ça a l'air d'être un bon rendez-vous.|oui, c'était agréable 
oui, c'était agréable.|mais tu ne sortiras plus avec lui ? 
mais tu ne sortiras plus avec lui ?|Non. il était gentil, mais il n'y avait pas d'alchimie.
j'ai eu le pire rendez-vous l'autre soir.|ce qui s'est passé? 
ce qui s'est passé?|tout d'abord, il était en retard d'une demi-heure.
ce n'est pas un bon début.|alors il n'a pas pris la peine de s'excuser 
alors il n'a pas pris la peine de s'excuser.|C'est vulgaire 
C'est vulgaire.|puis il est allé trop vite au restaurant 
puis il est allé trop vite au restaurant.|c'est dangereux 
c'est dangereux.|j'ai pensé à sortir et à prendre un taxi pour rentrer chez moi 
j'ai pensé à sortir et à prendre un taxi pour rentrer chez moi.|que s'est-il passé au restaurant ? 
que s'est-il passé au restaurant ?|nous avons pris un repas à 40 $ et il a laissé un pourboire de 1 $ !
nous avons pris un repas à 40 $ et il a laissé un pourboire de 1 $ ! je suppose que tu ne peux pas retourner dans ce restaurant.|
je n'aime pas cet homme.|pourquoi pas? 
pourquoi pas?|c'est un sale vieil homme.
c'est un sale vieil homme.|que veux-tu dire ? 
que veux-tu dire ?|il est assez vieux pour être mon père, et pourtant il m'a invité à sortir avec moi.
il est assez vieux pour être mon père, et pourtant il m'a invité à sortir avec moi.|eh bien, vous ne pouvez pas blâmer un homme de demander 
eh bien, vous ne pouvez pas blâmer un homme de demander.|il devrait agir à son âge 
il devrait agir à son âge.|mais beaucoup de personnes âgées sont toujours intéressées par les rencontres 
mais beaucoup de personnes âgées sont toujours intéressées par les rencontres.|ils devraient trouver un passe-temps sympa 
ils devraient trouver un passe-temps sympa.|attends juste d'avoir 50 ans 
attends juste d'avoir 50 ans.|
sortir avec quelqu'un sera la chose la plus éloignée de mon esprit.|c'est ce que tu dis maintenant attends d'avoir 50 ans 
est-ce que ta copine te met parfois en colère ?|parfois.
parfois.|
que fait-elle?|hier, je lui ai dit que je ne l'échangerais pas contre tout l'argent du monde.
hier, je lui ai dit que je ne l'échangerais pas contre tout l'argent du monde.|c'était une bonne chose à dire 
c'était une bonne chose à dire.|c'est ce que je pensais 
c'est ce que je pensais.|Qu'a-t-elle dit? 
Qu'a-t-elle dit?|elle a ri! elle ne m'a pas cru.
elle a ri! elle ne m'a pas cru.|ce n'était pas très gentil de sa part 
ce n'était pas très gentil de sa part.|elle a dit que rien n'est plus important pour moi que l'argent 
elle a dit que rien n'est plus important pour moi que l'argent.|Qu'est-ce que vous avez dit? 
Qu'est-ce que vous avez dit?|je lui ai dit que je ne l'échangerais contre aucune autre femme au monde.
certaines personnes ont un bon nez.|j'aurais aimé avoir un bon nez le mien est bien trop gros 
j'aurais aimé avoir un bon nez.|le mien est bien trop gros je ne veux pas dire beau je veux dire, qui sent bon 
je dirai.|ma copine a un nez de chien toxicomane est-ce qu'elle t'a surpris en train de consommer de la drogue ? 
est-ce qu'elle t'a surpris en train de consommer de la drogue ?|sorte de. elle sait quand je fume une cigarette.
sorte de.|elle sait quand je fume une cigarette pas besoin d'avoir un bon nez pour ça : les cigarettes puent 
pas besoin d'avoir un bon nez pour ça : les cigarettes puent.|mais quand je ne fume qu'une cigarette le matin, elle peut la sentir ce soir-là ! 
mais quand je ne fume qu'une cigarette le matin, elle peut la sentir ce soir-là ! mon garçon, c'est un bon nez.|
mon garçon, c'est un bon nez.|je lui ai dit qu'elle devrait postuler pour un emploi à la douane 
sortons manger.|cela semble amusant 
cela semble amusant.|Où veux-tu aller? 
Où veux-tu aller?|laisse-moi réfléchir une minute.
laisse-moi réfléchir une minute.|j'ai l'impression d'être chinois 
j'ai l'impression d'être chinois.|cela semble délicieux 
cela semble délicieux.|je connais un bon restaurant chinois 
je connais un bon restaurant chinois.|c'est à quelle distance ? 
c'est à quelle distance ?|c'est à seulement 10 minutes d'ici.
c'est à seulement 10 minutes d'ici.|avons-nous besoin de réservations ? 
avons-nous besoin de réservations ?|oh non. nous pouvons entrer directement.
oh, non.|nous pouvons entrer directement Allons-y maintenant j'ai faim! 
je n'arrive pas à croire la longueur de cette ligne.|c'est un restaurant populaire, n'est-ce pas ? 
c'est un restaurant populaire, n'est-ce pas ?|oui, mais ce n'est pas un fast-food, n'est-ce pas
oui, mais ce n'est pas un fast-food, n'est-ce pas ?|c'est le hamburger le plus lent de la ville.
c'est le hamburger le plus lent de la ville.|c'est parce qu'ils le cuisinent pendant que vous attendez 
un excellent burger et un excellent service.|oui, les ouvriers sont très polis 
Oui, les ouvriers sont très polis.|et ils sont propres 
c'est parce qu'ils le cuisinent pendant que vous attendez.|Oui 
Oui.|c'est pourquoi c'est aussi le meilleur hamburger de la ville un excellent burger et un excellent service 
et ils sont propres.|je viens ici depuis des années 
je viens ici depuis des années.|moi aussi 
moi aussi.|excusez-moi ils viennent d'appeler mon numéro 
le déjeuner était délicieux.|merci 
merci.|c'était quel genre de soupe ? 
c'était quel genre de soupe ?|c'était de la soupe aux tomates.
c'était de la soupe aux tomates.|c'était si bon 
c'était si bon.|j'y ai mis du citron et du beurre 
j'y ai mis du citron et du beurre.|le sandwich était bon aussi 
le sandwich était bon aussi.|tout le monde aime les sandwichs au bacon et aux tomates 
demain nous aurons du riz et du poisson pour le déjeuner.|je ne peux pas attendre 
j'appelle le serveur.|quel est le problème? 
quel est le problème?|ce steak est trop gras.
ce steak est trop gras.|que veux-tu que le serveur fasse ? 
que veux-tu que le serveur fasse ?|apporte-moi un meilleur steak.
apporte-moi un meilleur steak.|je ne ferais pas ça 
je ne ferais pas ça.|pourquoi pas? 
pourquoi pas?|ils laisseront tomber le nouveau steak sur le sol, marcheront dessus, puis cracheront dessus.
puis le serveur vous fera un grand sourire en vous apportant le nouveau steak.|où trouves-tu ces idées folles ? 
où trouves-tu ces idées folles ?|je cuisinais dans un restaurant !
partons.|mais nous venons juste d'arriver 
mais nous venons juste d'arriver.|as-tu vu les mains du serveur ? 
as-tu vu les mains du serveur ?|Non.
Non.|il avait les ongles sales 
il avait les ongles sales.|vraiment ? 
vraiment ?|ses ongles étaient noirs !
ses ongles étaient noirs ! c'est dégoutant.|
c'est dégoutant.|et il a versé de l'eau dans nos verres 
et il a versé de l'eau dans nos verres.|beurk ! pas d'eau pour moi 
beurk ! pas d'eau pour moi.|je me demande si les ongles des cuisiniers sont sales aussi 
je me demande si les ongles des cuisiniers sont sales aussi. qui s'en soucie?|sortons d'ici.
ce pain chaud est délicieux.|j'aime ce restaurant parce qu'ils vous donnent du pain gratuit 
j'aime ce restaurant parce qu'ils vous donnent du pain gratuit.|eh bien, je pense que nous payons pour cela 
eh bien, je pense que nous payons pour cela.|Non regarde la facture quand nous la recevrons il n'y a pas de frais pour le pain 
Non.|regarde la facture quand nous la recevrons il n'y a pas de frais pour le pain c'est délicieux, surtout avec du beurre 
c'est délicieux, surtout avec du beurre.|je pense que nous devrions partir après avoir fait le plein de pain 
je pense que nous devrions partir après avoir fait le plein de pain.|ils n'aimeraient probablement pas ça 
ils n'aimeraient probablement pas ça.|je mange tellement de pain que je suis rassasié 
je mange tellement de pain que je suis rassasié.|alors arrête de manger du pain ! 
alors arrête de manger du pain ! ok, juste un morceau de plus.|passe le beurre, s'il te plaît 
ok, juste un morceau de plus.|passe le beurre, s'il te plaît si j'étais propriétaire d'un restaurant, je ne servirais jamais de pain chaud avant le plat principal 
si j'étais propriétaire d'un restaurant, je ne servirais jamais de pain chaud avant le plat principal.|c'est terrible je n'irais jamais dans votre restaurant 
est-ce un restaurant propre ?|eh bien, les tables et les chaises ont l'air bien.
eh bien, les tables et les chaises ont l'air bien.|ok, asseyons-nous 
ok, asseyons-nous.|découvrez l'argenterie 
découvrez l'argenterie.|il passe l'inspection 
donc ça ne vaut pas grand chose ?|seulement environ 30 000 $.
seulement environ 30 000 $.|sans les taches de nourriture, cela vaudrait probablement plus 
on peut aller au match de baseball ?|bien sûr.
bien sûr.|j'adore le baseball 
j'adore le baseball.|moi aussi 
moi aussi.|j'adore manger les cacahuètes 
j'adore manger les cacahuètes.|j'adore manger les hot-dogs 
j'adore manger les hot-dogs.|j'espère que nous verrons un home run 
apportez une veste.|Oui il fait un peu frais la nuit 
Oui.|il fait un peu frais la nuit apportez un gant pour attraper une fausse balle 
apportez un gant pour attraper une fausse balle.|Non je vais juste utiliser ma casquette pour attraper une fausse balle 
le golf est un jeu idiot.|C'est certainement 
C'est certainement.|tu frappes une balle blanche 
tu frappes une balle blanche.|et puis vous le poursuivez 
et puis vous le poursuivez.|et puis vous frappez à nouveau 
et puis vous frappez à nouveau.|enfin, vous mettez la balle dans un trou dans le sol 
enfin, vous mettez la balle dans un trou dans le sol.|vous faites cela 18 fois, car il y a 18 trous 
